areasymbol	musym	muname	MUKEY	dom_cond_order	dom_cond_pct_order	dom_cond_suborder	dom_cond_pct_suborder
WI065	1180B2	"Dubuque, clayey substratum-Dunbarton complex, 2 to 6 percent slopes, moderately eroded"	2561803	Alfisols	100	Udalfs	100
WI065	1180C2	"Dubuque, clayey substratum-Dunbarton complex, 6 to 12 percent slopes, moderately eroded"	2561804	Alfisols	100	Udalfs	100
WI065	1180D2	"Dubuque, clayey substratum-Dunbarton complex, 12 to 20 percent slopes, moderately eroded"	2561802	Alfisols	100	Udalfs	100
WI065	1180E	"Dubuque-Dunbarton, very stony, complex, 20 to 30 percent slopes, very rocky"	2561806	Alfisols	70	Udalfs	70
WI065	1180F	"Dubuque-Dunbarton, very stony, complex, 30 to 45 percent slopes, very rocky"	2561805	Alfisols	70	Udalfs	70
WI065	1195E	"Elkmound-Northfield complex, 20 to 30  percent slopes, very rocky"	2809838	Inceptisols	50	Udepts	50
WI065	1195F	"Elkmound-Northfield complex, 30 to 60  percent slopes, very rocky"	2561810	Inceptisols	50	Udepts	50
WI065	Ad	Alluvial land	424735		100		100
WI065	An	Arenzville silt loam	424736	Entisols	100	Fluvents	100
WI065	AsB	"Ashdale silt loam, 2 to 6 percent slopes"	424737	Mollisols	100	Udolls	100
WI065	AsB2	"Ashdale silt loam, 2 to 6 percent slopes, moderately eroded"	424738	Mollisols	100	Udolls	100
WI065	AsC2	"Ashdale silt loam, 6 to 12 percent slopes, moderately eroded"	424740	Mollisols	100	Udolls	100
WI065	AsD2	"Ashdale silt loam, 12 to 20 percent slopes, moderately eroded"	424743	Mollisols	100	Udolls	100
WI065	Ba	Boaz silt loam	424745	Inceptisols	100	Aquepts	100
WI065	BoD2	"Boone fine sand, 6 to 20 percent slopes, moderately eroded"	424746	Entisols	100	Psamments	100
WI065	CaA	"Calamine silt loam, 0 to 2 percent slopes"	424747	Mollisols	100	Aquolls	100
WI065	CaB	"Calamine silt loam, 2 to 6 percent slopes"	424748	Mollisols	100	Aquolls	100
WI065	CaC2	"Calamine silt loam, 6 to 12 percent slopes, moderately eroded"	424750	Mollisols	100	Aquolls	100
WI065	ChA	"Chaseburg silt loam, moderately well drained, 0 to 2 percent slopes"	2774743	Entisols	95	Fluvents	95
WI065	ChB	"Chaseburg silt loam, moderately well drained, 2 to 6 percent slopes"	424752	Entisols	95	Fluvents	95
WI065	DaA	"Dakota loam, 0 to 2 percent slopes"	424753	Mollisols	100	Udolls	100
WI065	DaB	"Dakota loam, 2 to 6 percent slopes"	424754	Mollisols	100	Udolls	100
WI065	DbB	"Dakota loam, mottled subsoil variant, 0 to 3 percent slopes"	424755	Mollisols	100	Udolls	100
